conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
"1596019795136086017","Fri Nov 25 16:01:10 +0000 2022","0","@SoundOfYogi Takut juga ternyata Qatar dengan hegemoni barat Padahal gue ngarepin barat lebih tekan Qatar soal pekerja imigran daripada ribut simbol pelangi","1596172149248913408","","SoundOfYogi","in","Bali, ID / Amstelveen, NL","0","0","0","https://twitter.com/Mpok_Hanum/status/1596172149248913408","500705112","Mpok_Hanum"
"1595677951051190272","Fri Nov 25 15:42:01 +0000 2022","1","@anggaimaginer @GOAL_ID Kalo ente ngomong gini apa ada pembuktiannya eropa takut sama qatar? Hey kalo emang eropa takut sama qatar kenapa fifa bisa setuju penonton bawah bndera pelangi ke dlm stadion kalo bkn seizin qatar?","1596167329574182912","","anggaimaginer","in","","0","1","0","https://twitter.com/NyamukMalam13/status/1596167329574182912","1594934138301468672","NyamukMalam13"
"1596105168633724930","Fri Nov 25 15:41:03 +0000 2022","0","@tanyarlfes gabisa wkwkwkwkwk qatar aja gagal sama kaum pelangi apalagi indo yg udh mulai menormalisasikan lgbt HAHAHAHAHAH","1596167086308724736","","tanyarlfes","in","she/her 02l","0","0","0","https://twitter.com/Xoaps/status/1596167086308724736","1318346843684655105","Xoaps"
"1596166959946760192","Fri Nov 25 15:40:33 +0000 2022","2","Tak cuma bendera dan ornamen pelangi simbol LGBT yang dilarang di Piala Dunia 2022 FIFA juga melarang fans mengenakan kostum perang salib di Qatar. #juaraboladunia https://t.co/r3XOpsFREY","1596166959946760192","","","in","Jakarta","0","0","1","https://twitter.com/detiksport/status/1596166959946760192","135783107","detiksport"
"1596166273553113089","Fri Nov 25 15:37:49 +0000 2022","0","Orang Jerman ini protes kenapa tidak boleh pakai bendera pelangi tapi ada bendera Palestina di Qatar.","1596166273553113089","","","in","Discovery One","0","0","0","https://twitter.com/deepeewai/status/1596166273553113089","860630838","deepeewai"
"1596142643159138304","Fri Nov 25 15:09:07 +0000 2022","0","@SiaranBolaLive Ini wasitnya ndukung pelangi jadi benci qatar","1596159050382970880","","SiaranBolaLive","in","","0","0","0","https://twitter.com/yourmineea/status/1596159050382970880","1361981261837819904","yourmineea"
"1596105168633724930","Fri Nov 25 14:49:30 +0000 2022","0","@tanyarlfes Mana ada tegas. Noh Qatar ujung2 nya ngebolehin atribut pelangi masuk stadion. Berbau bir aja pasti bisa masuk stadion","1596154115230691328","","tanyarlfes","in","Magetan, Indonesia","0","0","0","https://twitter.com/redevilyn/status/1596154115230691328","368709972","redevilyn"
"1596151491647373313","Fri Nov 25 14:39:05 +0000 2022","1","Qatar juga takut diboikot setelah mentri dalam Negri Jerman datang dengan emblem pelangi . Intinya nggak Ada tempat untuk diskriminasi bahkan atas Nama Agama . Tidak mendiskriminasi Bukan setuju dengan perilaku Gay atau Lesbi tapi menghormati mrk sbg sesama manusia .","1596151491647373313","","","in","Jakarta Capital Region","0","1","1","https://twitter.com/arifinpribadi/status/1596151491647373313","88876470","arifinpribadi"
"1596150991774420993","Fri Nov 25 14:37:06 +0000 2022","0","I love this Qatar World Cup bcoz they ban puak pelangi. Terbaik ","1596150991774420993","","","in","Kuala Lumpur","0","0","0","https://twitter.com/XWarisan/status/1596150991774420993","16647660","XWarisan"
"1596145046537003008","Fri Nov 25 14:13:28 +0000 2022","52","Tak cuma bendera dan ornamen pelangi simbol LGBT yang dilarang di Piala Dunia 2022. FIFA kini juga melarang fans mengenakan kostum perang salib di Qatar. https://t.co/tSLe5Enxc3","1596145046537003008","","","in","","0","6","6","https://twitter.com/detikcom/status/1596145046537003008","69183155","detikcom"
"1596140657512423427","Fri Nov 25 14:12:08 +0000 2022","3","@IDhoifa @theflankerID Kan kabar terbaru qatar sekarang kasih izin orang bawa atribut pelangi ke stadion mungkin itu yang dimaksud admin","1596144708342149122","","IDhoifa","in","Sukabumi, Indonesia","0","0","0","https://twitter.com/saadaqilm18/status/1596144708342149122","1257947184323948545","saadaqilm18"
"1596142634246242305","Fri Nov 25 14:03:53 +0000 2022","0","Ya sementara ini musuh gw cuma Qatar krn jadi tuan rumah pildun yg sok2an padahal cuma band pelangi bukan parade LGBT+. Untuk Senegal yg sebenernya jg halu kita simpan utk olok2 kapan2 ","1596142634246242305","","","in","Indonésie de l'ouest","0","1","0","https://twitter.com/spektrumku/status/1596142634246242305","116387061","spektrumku"
"1596141171038113792","Fri Nov 25 13:58:04 +0000 2022","1","Gak ada yang bilang Qatar kalah karena kebanyakan mikirin aturan daripada sepakbola? Kayak waktu Jerman kalah kemarin dibilang karena kebanyakan mikirin pelangi.","1596141171038113792","","","in","Jakarta, Indonesia","0","2","0","https://twitter.com/Arionbatara/status/1596141171038113792","100677161","Arionbatara"
"1595828347015032832","Fri Nov 25 13:57:30 +0000 2022","0","@tanyakanrl Urgensinya apa sih harus banget pake band corak begitu? padahal qatar udah larang yaudah nurut aja Band pelangi gitu juga ga ada korelasinya juga sama sepak bola hadehh","1596141026422706178","","tanyakanrl","in","Jakarta","0","0","0","https://twitter.com/cupang_fish/status/1596141026422706178","957675083081826305","cupang_fish"
"1596027387606700035","Fri Nov 25 13:26:00 +0000 2022","0","@agisubagio @Mahlilahmad27 @detikcom Bang terima fakta aja sekeras apapun qatar ngga ad gunanye kalo larang larang jangan plin plan. Sok keras di awal tapi akhirnya setuju juga kan buat mereka pake ban pelangi. Kalo penakut ngga usah sok berani","1596133101239177216","","agisubagio","in","","0","1","0","https://twitter.com/NyamukMalam13/status/1596133101239177216","1594934138301468672","NyamukMalam13"
"1596133068670017536","Fri Nov 25 13:25:52 +0000 2022","3","Tak cuma bendera dan ornamen pelangi simbol LGBT yang dilarang di Piala Dunia 2022. FIFA kini juga melarang fans mengenakan kostum perang salib di Qatar. https://t.co/yjEH9zdGJt","1596133068670017536","","","in","Jakarta","0","0","0","https://twitter.com/detiksport/status/1596133068670017536","135783107","detiksport"
"1596025555622584321","Fri Nov 25 13:22:53 +0000 2022","0","@convomfs Gue sendiri dari awal gak mempersalahkan larangan dari Qatar karna emang gue paham. Sekarang karna desakan berbagai pihak Qatar terpaksa ngebolehin. Keterpaksaan bukan sesuatu yg gue setuju karna gak akan ngasih perubahan apa pun. Begitu pun bawa atribut pelangi ke stadion.","1596132314513215488","","convomfs","in","Kalimantan Timur, Indonesia","0","0","0","https://twitter.com/unrealstranger/status/1596132314513215488","1153574533158191104","unrealstranger"
"1596131693575880705","Fri Nov 25 13:20:25 +0000 2022","0","FIFA Izinkan Bendera Pelangi LGBT di Piala Dunia 2022 Qatar https://t.co/kTGKOcoXKI","1596131693575880705","","","in","Bandung","0","0","0","https://twitter.com/contohblogcom/status/1596131693575880705","606488997","contohblogcom"
"1596027387606700035","Fri Nov 25 13:20:18 +0000 2022","0","@GuevinoraRay @agisubagio @Mahlilahmad27 @detikcom Ehh bambang kalo qatar buat kebijakn itu semuanya jangan stengah stengah penonton sama pemainya dilarang bawah atribut pelangi giliran mendagri kerman ngga ad yang komen pas dia pake Ban pelangi itu bukti kalo qatar it ngga punya pengaru","1596131664358682624","","GuevinoraRay","in","","0","1","0","https://twitter.com/NyamukMalam13/status/1596131664358682624","1594934138301468672","NyamukMalam13"
